mf_current_assets,mf_nuveen_non_taxable_tot_assets,mf_nuveen_trailing_12m_net_sales,mf_nuveen_12m_gross_sales,club_status,mf_nuveen_prior_year_assets,mf_nuveen_12m_non_tax_total_gs,mf_prior_year_assets,mf_trailing_12m_net_sales,mf_commodities_12m_gs,mf_commodities_12m_net_sales,mf_international_equity_aum,mf_int_equity_12mo_gs,mf_int_equity_12mo_net,mf_municipal_bond_aum,mf_muni_12_mo_gs,mf_muni_12_mo_net,mf_sector_equity_aum,mf_sector_equity_12mo_gs,mf_sector_equity_12mo_net,mf_taxable_bond_aum,mf_taxable_bond_12mo_gs,mf_taxable_bond_12mo_net_sales,mf_us_equity_aum,mf_US_equity_12m_gross_sales,mf_us_equity_12m_net_sales,mf_nuveen_assets_fa_book_rank,mf_diversified_emerging_mkts_aum,mf_diversified_emerg_mkts_12m_gs,mf_europe_stock_aum,mf_europe_stock_12m_gross_sales,mf_europe_stock_12m_net_sales,mf_foreign_large_blend_aum,mf_foreign_large_blend_12m_gs,mf_foreign_large_blend_12m_net,mf_foreign_large_growth_aum,mf_foreign_large_growth_12m_gs,mf_foreign_large_growth_12m_net,mf_foreign_large_value_aum,mf_foreign_large_value_12m_gs,mf_foreign_large_value_12m_net,mf_global_real_estate_aum,mf_global_real_estate_12m_gs,mf_global_real_estate_12m_net,mf_health_aum,mf_health_12m_gross_sales,mf_health_12m_net_sales,mf_high_yield_bond_aum,mf_high_yield_bond_12m_gs,mf_high_yield_bond_12m_net,mf_high_yield_muni_aum,mf_high_yield_muni_12m_gs,mf_high_yield_muni_12m_net,mf_inflation_protected_bond_aum,mf_inflation_protect_bond_12m_gs,mf_infl_protect_bond_12m_net,mf_large_blend_aum,mf_large_blend_12m_gross_sales,mf_large_blend_12m_net_sales,mf_large_growth_aum,mf_large_growth_12m_gross_sales,mf_large_growth_12m_net_sales,mf_large_value_aum,mf_large_value_12m_gross_sales,mf_large_value_12m_net_sales,Most_Recent_12m_GS
25691477.57,11727.97,-163.04,0,Non-Club,74526.75,0,26173978.48,-993946.4,16164.51,14721.03,3014995.58,315100.48,84594.53,850769.9,0,-17459.54,590030.36,3882.08,-20168.06,10653708.58,5115504.45,-1225438.31,8302555.95,877924.07,200813.67,38,515675.31,144135.87,6979.12,0,-5297.48,220547.14,4328.85,-28365.92,233768.14,35018.2,23425.61,359761.54,3970.66,-43449.8,5098.15,0,0,67797.35,0,-1052.43,914309.69,725171.4,721544.3,106673.85,0,-661.11,1919405.61,60250.45,54126.34,2588165.57,427228.81,76448.07,3723589.68,222246.89,40758.67,934498.7,124830.2,50338.46,0
34957403.1,394.46,-291289.05,0,Master's,4517.26,0,34826506.47,-1024984.35,2331.89,2331.89,10163161.59,1878684.14,436458.6,410384.2,262938.86,-274434.56,1464837.86,129873.36,-140188.24,8859987.59,7003381.63,1704017.35,9963990.01,877643.48,-1478973.45,64,3737555.78,309611.42,0,0,0,363675.25,109083.85,-190220.61,3544331.08,251681.57,64404.44,45737.3,9466.12,-17012.84,33161.6,3091.12,-26722.63,56400.06,0,-30916.23,23636.38,3190.3,3053.55,0,0,-316133.61,17489.54,532.27,-69.86,2055145.85,21970.08,-110255.1,3815196.2,184155.78,-1595615.94,1255992.85,557167.19,401451.05,0
9810409.81,0,0,0,Non-Club,119361.08,0,10605324.79,54789.64,0,0,2229520.21,229639.22,28677.54,427567.67,293.95,-7206.05,335791.12,325808.22,257178.74,2544097.06,221939.38,-38865.16,3767088.48,318227.04,-365569.41,,522593.39,16642.73,0,0,0,36332.07,9895.03,-2068.42,1031462.57,52560.24,-90979.19,0,0,0,141662.76,67380.55,4929.75,0,0,0,162682.05,24989.64,1481.72,303.07,293.95,293.95,8261.93,151.66,-8745.93,1325968.91,47008.99,-77956.08,1566706.12,224054.19,-152877.24,302820.19,327.49,-57537.49,0.34
13361451.36,0,0,0,President,70153.82,0,15998282.82,-3014471.62,26261.82,26261.82,2108503.82,200225.66,-280214.52,2163099.54,8966.16,-41024.41,1938560.01,57235.85,-370787,1091945.97,225216.41,-2206804.59,5008294.18,349706.02,-352076.45,26,197008.99,45441.17,376282.2,0,-31673.51,99297.23,10210.84,-59999.85,490705.92,86034.9,-109088.31,120558.17,20887.19,13509.58,2792.01,0,-18842.75,293015.92,0,-165680.27,360863.51,107327.43,45792.93,480159.78,8966.16,866.16,0,0,0,1564877.5,20991.05,-209340.68,2440750.17,166443.58,-57962.8,210103.12,43233.96,14392.89,0
7036869.77,0,0,0,Non-Club,32.5,0,7763957.43,-218000.85,0,0,1024213.8,456386.71,-478984.7,31657.02,0,0,72206.02,0,-1449.53,1396613.08,1310614.55,-54644.13,3854072.06,1998560.53,38049.16,,120057.85,25562.4,828.16,0,0,199277.12,96057.79,-172908.81,503216.95,334761.24,130766.68,775.64,3.99,-279661.72,0,0,0,18041.88,0,0,2395.12,0,-5462.23,0,0,0,0,0,0,1086606.94,211128.79,-247588.63,1139329.51,394716.5,5332.53,1300728.5,1392712.79,537006.55,0
501821.71,0,0,0,Non-Club,0,0,521557.76,8743.69,0,0,3427.95,986.04,986.04,0,0,0,7470.3,0,0,12347.64,1340442.18,7757.65,455438.05,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1026.61,0,0,0,0,0,0,1560.32,0,0,25079.88,0,0,401982.42,0,0,0
9962396.16,0,0,0,Non-Club,0,0,9466208.23,-328800.89,0,-11035.88,726245.45,0,-47054.79,1448545.4,0,-15009.75,1214327.06,4683,-114787.09,1059973.65,15492.54,390.78,4666940.23,41474.75,-109599.69,,77502.52,0,3540.69,0,0,71628.6,0,-20811.57,84414.84,0,-21974.65,33139.15,0,0,2050.33,0,0,1002594.89,4683,-51051.41,42767.41,0,-1624.93,708996.99,0,-10006.5,8396.69,0,0,1704922.72,12500,-89517.7,2047745.28,28974.75,20013.08,364804.83,0,-27288.01,0
19758770.11,0,-355.65,0,Non-Club,162197.38,0,18071215.53,885208.56,0,0,868296.26,39042,-194015.37,2323890.57,310600,161886.25,449614.85,0,-59634.87,11640437.29,4926444,1306424.08,4070607.71,26420.65,-317238.53,11,79504.89,7150.5,34451.58,0,-29025.2,223725.56,31891.5,-32362.78,138962.19,0,-12306.75,0,0,0,0,0,0,101014.15,0,0,40713.09,0,-4006.5,491297.16,310600,310600,49595.49,0,-169.06,2254721.73,0,-100894.92,990186.3,4471.65,-69630.98,393707.84,7895.41,-44141.49,0
7573033.97,0,0,0,Non-Club,0,0,903704.3,8327598.15,0,0,221455.64,177217.92,82787.51,0,491665.68,-1746.11,24103.71,0,-233563.4,6986737.28,12849985.26,8488955.67,303718.45,0,-8835.52,,14011.6,0,0,0,0,42912.96,88117.92,48571,70015.03,89100,44291.64,0,0,0,0,0,0,0,0,0,35680.78,0,0,0,0,0,0,0,0,194848.01,0,0,68534.48,0,-2756.14,40335.96,0,-1986.44,0
12225004.29,0,0,0,Non-Club,28649.23,0,10788479.93,-112177.64,0,0,761141.19,0,0,808383.3,0,-45900,170148.87,0,-8913,807048.71,0,-100,8747383.03,91958.5,-29569.14,9,0,0,5420.53,0,0,47194.05,0,0,2980.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937716.36,0,0,5883703.51,91958.5,-7827.38,601310.04,0,-4125.82,0
